"","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm"
"161",178.38804263449,0.0932,"SPOT",1,6,7,0,0.25,0,"Montage_1000.xml|","EVOLUTION",178.222800628456,0.0462,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"162",177.700625834715,0.1229,"SPOT",1,6,8,1,0.25,2,"Montage_1000.xml|","EVOLUTION",177.27404526085,0.0446,"SPOT",1,7,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"169",174.090238486677,0.0368,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",178.285397637003,0.0444,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"170",181.967565122688,0.0636,"SPOT",1,6,9,0,0.25,2,"Montage_1000.xml|","EVOLUTION",176.145252240306,0.0439,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"171",175.289167525393,0.1137,"SPOT",1,6,9,0,0.25,2,"Montage_1000.xml|","EVOLUTION",177.277254524887,0.0897,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"172",176.434860281548,0.0434,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",184.870302881996,0.077,"SPOT",1,6,10,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"173",178.627168627451,0.0447,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",173.90784927099,0.0468,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"174",176.654474836601,0.0395,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",179.869308722976,0.0465,"SPOT",1,6,8,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"181",177.918765635998,0.0529,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",180.988213951735,0.119,"SPOT",1,6,9,0,0.3,3,"Montage_1000.xml|","EVOLUTION"
"182",179.57407785535,0.0463,"SPOT",1,6,7,0,0.25,0,"Montage_1000.xml|","EVOLUTION",182.794298139769,0.0446,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"183",176.776593514329,0.1126,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",178.817506259427,0.1074,"SPOT",1,6,8,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"184",177.65621012919,0.0454,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",176.946095417266,0.0584,"SPOT",1,7,8,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"185",178.753914856712,0.0642,"SPOT",1,6,9,0,0.25,3,"Montage_1000.xml|","EVOLUTION",182.886171336357,0.1335,"SPOT",1,7,9,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"186",181.106002161891,0.099,"SPOT",1,6,9,0,0.25,1,"Montage_1000.xml|","EVOLUTION",178.221340623429,0.0401,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"193",177.645522599296,0.1033,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",174.090234565108,0.0391,"SPOT",1,6,7,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
